Time,Value
2023-04-01 00:00:00,747.0
2023-04-01 00:30:00,744.0
2023-04-01 01:00:00,746.0
2023-04-01 01:30:00,708.0
2023-04-01 02:00:00,743.0
2023-04-01 02:30:00,744.0
2023-04-01 03:00:00,805.0
2023-04-01 03:30:00,751.0
2023-04-01 04:00:00,741.0
2023-04-01 04:30:00,716.0
2023-04-01 05:00:00,695.0
2023-04-01 05:30:00,733.0
2023-04-01 06:00:00,754.0
2023-04-01 06:30:00,761.0
2023-04-01 07:00:00,747.0
2023-04-01 07:30:00,776.0
2023-04-01 08:00:00,786.0
2023-04-01 08:30:00,745.0
2023-04-01 09:00:00,751.0
2023-04-01 09:30:00,708.0
2023-04-01 10:00:00,776.0
2023-04-01 10:30:00,754.0
2023-04-01 11:00:00,743.0
2023-04-01 11:30:00,660.0
2023-04-01 12:00:00,761.0
2023-04-01 12:30:00,807.0
2023-04-01 13:00:00,749.0
2023-04-01 13:30:00,749.0
2023-04-01 14:00:00,775.0
2023-04-01 14:30:00,731.0
2023-04-01 15:00:00,820.0
2023-04-01 15:30:00,749.0
2023-04-01 16:00:00,747.0
2023-04-01 16:30:00,763.0
2023-04-01 17:00:00,748.0
2023-04-01 17:30:00,684.0
2023-04-01 18:00:00,829.0
2023-04-01 18:30:00,888.0
2023-04-01 19:00:00,739.0
2023-04-01 19:30:00,744.0
2023-04-01 20:00:00,803.0
2023-04-01 20:30:00,780.0
2023-04-01 21:00:00,975.0
2023-04-01 21:30:00,936.0
2023-04-01 22:00:00,972.0
2023-04-01 22:30:00,973.0
2023-04-01 23:00:00,972.0
2023-04-01 23:30:00,979.0
2023-04-02 00:00:00,1270.0
2023-04-02 00:30:00,1315.0
2023-04-02 01:00:00,1235.0
2023-04-02 01:30:00,1236.0
2023-04-02 02:00:00,1233.0
2023-04-02 02:30:00,1199.0
2023-04-02 03:00:00,1236.0
2023-04-02 03:30:00,1240.0
2023-04-02 04:00:00,1239.0
2023-04-02 04:30:00,1225.0
2023-04-02 05:00:00,1305.0
2023-04-02 05:30:00,1139.0
2023-04-02 06:00:00,1247.0
2023-04-02 06:30:00,1245.0
2023-04-02 07:00:00,1244.0
2023-04-02 07:30:00,1207.0
2023-04-02 08:00:00,1245.0
2023-04-02 08:30:00,1240.0
2023-04-02 09:00:00,1237.0
2023-04-02 09:30:00,1379.0
2023-04-02 10:00:00,1368.0
2023-04-02 10:30:00,1280.0
2023-04-02 11:00:00,1286.0
2023-04-02 11:30:00,1181.0
2023-04-02 12:00:00,1247.0
2023-04-02 12:30:00,1320.0
2023-04-02 13:00:00,1242.0
2023-04-02 13:30:00,1239.0
2023-04-02 14:00:00,1236.0
2023-04-02 14:30:00,1201.0
2023-04-02 15:00:00,1245.0
2023-04-02 15:30:00,1247.0
2023-04-02 16:00:00,1242.0
2023-04-02 16:30:00,1203.0
2023-04-02 17:00:00,1308.0
2023-04-02 17:30:00,1207.0
2023-04-02 18:00:00,1209.0
2023-04-02 18:30:00,1223.0
2023-04-02 19:00:00,1241.0
2023-04-02 19:30:00,1237.0
2023-04-02 20:00:00,1241.0
2023-04-02 20:30:00,1210.0
2023-04-02 21:00:00,1242.0
2023-04-02 21:30:00,1311.0
2023-04-02 22:00:00,1236.0
2023-04-02 22:30:00,1333.0
2023-04-02 23:00:00,1271.0
2023-04-02 23:30:00,1244.0
2023-04-03 00:00:00,1220.0
2023-04-03 00:30:00,1242.0
2023-04-03 01:00:00,1234.0
2023-04-03 01:30:00,1232.0
2023-04-03 02:00:00,1195.0
2023-04-03 02:30:00,1236.0
2023-04-03 03:00:00,1240.0
2023-04-03 03:30:00,1238.0
2023-04-03 04:00:00,1278.0
2023-04-03 04:30:00,1259.0
2023-04-03 05:00:00,1213.0
2023-04-03 05:30:00,1297.0
2023-04-03 06:00:00,1218.0
2023-04-03 06:30:00,1918.0
2023-04-03 07:00:00,1388.0
2023-04-03 07:30:00,1394.0
2023-04-03 08:00:00,1489.0
2023-04-03 08:30:00,1606.0
2023-04-03 09:00:00,1504.0
2023-04-03 09:30:00,1564.0
2023-04-03 10:00:00,1600.0
2023-04-03 10:30:00,1740.0
2023-04-03 11:00:00,1576.0
2023-04-03 11:30:00,1474.0
2023-04-03 12:00:00,1463.0
2023-04-03 12:30:00,1635.0
2023-04-03 13:00:00,1636.0
2023-04-03 13:30:00,1550.0
2023-04-03 14:00:00,1793.0
2023-04-03 14:30:00,1463.0
2023-04-03 15:00:00,1417.0
2023-04-03 15:30:00,1423.0
2023-04-03 16:00:00,1674.0
2023-04-03 16:30:00,1932.0
2023-04-03 17:00:00,1953.0
2023-04-03 17:30:00,1562.0
2023-04-03 18:00:00,1348.0
2023-04-03 18:30:00,1302.0
2023-04-03 19:00:00,1386.0
2023-04-03 19:30:00,1948.0
2023-04-03 20:00:00,1293.0
2023-04-03 20:30:00,1358.0
2023-04-03 21:00:00,1301.0
2023-04-03 21:30:00,1642.0
2023-04-03 22:00:00,1735.0
2023-04-03 22:30:00,1313.0
2023-04-03 23:00:00,1265.0
2023-04-03 23:30:00,1273.0
2023-04-04 00:00:00,1162.0
2023-04-04 00:30:00,1311.0
2023-04-04 01:00:00,1255.0
2023-04-04 01:30:00,1252.0
2023-04-04 02:00:00,1249.0
2023-04-04 02:30:00,1257.0
2023-04-04 03:00:00,1214.0
2023-04-04 03:30:00,1249.0
2023-04-04 04:00:00,1248.0
2023-04-04 04:30:00,1279.0
2023-04-04 05:00:00,1282.0
2023-04-04 05:30:00,1259.0
2023-04-04 06:00:00,1215.0
2023-04-04 06:30:00,1946.0
2023-04-04 07:00:00,1412.0
2023-04-04 07:30:00,1446.0
2023-04-04 08:00:00,1411.0
2023-04-04 08:30:00,1665.0
2023-04-04 09:00:00,1624.0
2023-04-04 09:30:00,1605.0
2023-04-04 10:00:00,1431.0
2023-04-04 10:30:00,1491.0
2023-04-04 11:00:00,1643.0
2023-04-04 11:30:00,1455.0
2023-04-04 12:00:00,1518.0
2023-04-04 12:30:00,1470.0
2023-04-04 13:00:00,1671.0
2023-04-04 13:30:00,1364.0
2023-04-04 14:00:00,1267.0
2023-04-04 14:30:00,751.0
2023-04-04 15:00:00,768.0
2023-04-04 15:30:00,650.0
2023-04-04 16:00:00,630.0
2023-04-04 16:30:00,596.0
2023-04-04 17:00:00,679.0
2023-04-04 17:30:00,670.0
2023-04-04 18:00:00,529.0
2023-04-04 18:30:00,972.0
2023-04-04 19:00:00,1197.0
2023-04-04 19:30:00,1290.0
2023-04-04 20:00:00,1419.0
2023-04-04 20:30:00,1432.0
2023-04-04 21:00:00,1466.0
2023-04-04 21:30:00,1473.0
2023-04-04 22:00:00,1761.0
2023-04-04 22:30:00,938.0
2023-04-04 23:00:00,694.0
2023-04-04 23:30:00,729.0
2023-04-05 00:00:00,677.0
2023-04-05 00:30:00,759.0
2023-04-05 01:00:00,698.0
2023-04-05 01:30:00,738.0
2023-04-05 02:00:00,734.0
2023-04-05 02:30:00,728.0
2023-04-05 03:00:00,693.0
2023-04-05 03:30:00,745.0
2023-04-05 04:00:00,738.0
2023-04-05 04:30:00,807.0
2023-04-05 05:00:00,753.0
2023-04-05 05:30:00,775.0
2023-04-05 06:00:00,718.0
2023-04-05 06:30:00,1362.0
2023-04-05 07:00:00,861.0
2023-04-05 07:30:00,886.0
